Gen, Top10AvgScore, TopScore, completionTime
1, 48.21814, 58.19344, -1
2, 57.35685, 70.40928, -1
3, 68.5721, 88.5403, -1
4, 69.09531, 88.12743, -1
5, 70.35255, 88.94799, -1
6, 67.25168, 68.28012, -1
7, 67.358, 67.7828, -1
8, 72.34879, 79.91701, -1
9, 106.8946, 109.8166, -1
10, 116.2686, 118.5243, -1
11, 117.0789, 118.8048, -1
12, 118.332, 122.8134, -1
13, 114.5829, 115.514, -1
14, 121.1288, 124.84, -1
15, 99.89368, 109.6228, -1
16, 104.8384, 110.2921, -1
17, 110.5061, 112.3283, -1
18, 120.1902, 132.4338, -1
19, 118.676, 132.4171, -1
20, 122.2119, 132.4171, -1
21, 127.2961, 145.7867, -1
22, 95.51833, 120.6574, -1
23, 114.9284, 116.968, -1
24, 114.821, 116.8679, -1
25, 122.9435, 143.0689, -1
26, 129.3476, 151.0913, -1
27, 160.1146, 231.6944, -1
28, 177.4492, 248.4383, -1
29, 188.7021, 197.2127, -1
30, 193.3056, 197.1254, -1
31, 206.7274, 216.7798, -1
32, 206.3149, 211.7666, -1
33, 211.1083, 215.2615, -1
34, 220.8411, 226.496, -1
35, 216.5559, 221.1283, -1
36, 255.8479, 286.2372, 27.1499
37, 0, 0, 27.1499
38, 235.3165, 258.4337, 27.1499
39, 234.3483, 258.6869, 27.1499
40, 229.0391, 245.7478, 27.1499
