Gen, Top10AvgScore, TopScore, completionTime
1, 30.41783, 45.7817, -1
2, 47.87685, 70.95928, -1
3, 55.38489, 70.95928, -1
4, 60.21208, 67.1955, -1
5, 62.49558, 66.59764, -1
6, 66.25981, 74.0424, -1
7, 67.02329, 73.88029, -1
8, 69.00754, 71.52144, -1
9, 134.354, 137.8429, -1
10, 127.0349, 128.4486, -1
11, 143.7044, 148.0138, -1
12, 115.7619, 121.4557, -1
13, 123.5436, 128.5063, -1
14, 125.7067, 128.5063, -1
15, 224.4374, 245.1464, -1
16, 237.0822, 246.5736, -1
17, 244.7783, 245.8879, -1
18, 245.1209, 247.2133, -1
19, 243.7783, 246.5857, -1
20, 250.0053, 258.8516, -1
21, 259.194, 263.8653, -1
22, 282.8945, 285.633, 17.89291
23, 0, 0, 17.89291
24, 259.4943, 260.7522, 17.89291
25, 236.1314, 239.7983, 17.89291
