Gen, Top10AvgScore, TopScore, completionTime
1, 47.24072, 55.9002, -1
2, 49.98352, 55.9002, -1
3, 68.60561, 75.44513, -1
4, 74.29143, 78.27254, -1
5, 75.99147, 78.27254, -1
6, 76.15363, 79.41748, -1
7, 86.69374, 87.15614, -1
8, 79.95246, 80.73029, -1
9, 81.44412, 82.15218, -1
10, 84.87378, 85.34212, -1
11, 82.5773, 82.62632, -1
12, 82.37768, 82.38182, -1
13, 82.92159, 82.9693, -1
14, 82.50735, 82.52544, -1
15, 85.93685, 85.95414, -1
16, 82.81874, 82.85823, -1
17, 82.67801, 82.80578, -1
18, 83.16787, 83.40976, -1
19, 82.97099, 83.16856, -1
20, 83.56593, 84.24744, -1
21, 83.37323, 84.01655, -1
22, 84.45984, 84.76259, -1
23, 84.49551, 84.97243, -1
24, 85.22923, 85.27492, -1
25, 85.01167, 85.12933, -1
26, 85.34625, 85.49496, -1
27, 86.32677, 86.41785, -1
28, 85.77795, 85.91441, -1
29, 85.80717, 85.91441, -1
30, 85.65899, 85.69508, -1
31, 29.79218, 30.37841, -1
