Gen, Top10AvgScore, TopScore, completionTime
1, 24.85944, 38.3363, -1
2, 43.29459, 58.5611, -1
3, 50.83749, 50.92009, -1
4, 59.50046, 59.87325, -1
5, 60.01653, 60.39008, -1
6, 60.81316, 61.22736, -1
7, 61.4017, 61.45988, -1
8, 61.54495, 61.65976, -1
9, 78.5586, 78.79585, -1
10, 79.4185, 80.79929, -1
11, 80.79929, 80.79929, -1
12, 80.90559, 81.04149, -1
13, 81.06999, 81.15552, -1
14, 81.12701, 81.15552, -1
15, 41.03435, 83.97926, -1
16, 83.97081, 83.97366, -1
17, 83.97655, 83.97655, -1
18, 84.13519, 84.3573, -1
19, 84.26358, 84.3968, -1
20, 84.4955, 84.56639, -1
21, 84.58091, 84.58091, -1
22, 84.59772, 84.60696, -1
23, 84.59965, 84.60696, -1
24, 84.60857, 84.6134, -1
25, 84.63046, 84.68165, -1
26, 84.85994, 85.47894, -1
27, 85.47894, 85.47894, -1
28, 85.52264, 85.66801, -1
29, 85.62074, 85.66801, -1
30, 85.66801, 85.66801, -1
31, 85.66942, 85.67367, -1
32, 85.6743, 85.67619, -1
33, 85.75897, 86.00732, -1
34, 86.31131, 87.22341, -1
35, 87.26584, 87.3931, -1
36, 87.58183, 87.63042, -1
37, 87.64253, 87.67882, -1
38, 87.81215, 88.20394, -1
39, 88.2977, 88.62831, -1
40, 88.79543, 89.24608, -1
41, 89.24608, 89.24608, -1
