Gen, Top10AvgScore, TopScore, completionTime
1, 24.50484, 40.05192, -1
2, 36.82393, 41.34015, -1
3, 67.61368, 77.18568, -1
4, 78.63694, 81.1838, -1
5, 79.34761, 82.4743, -1
6, 87.71982, 96.27553, -1
7, 93.55237, 99.44025, -1
8, 95.72325, 96.76645, -1
9, 88.99281, 99.71834, -1
10, 93.73529, 94.4743, -1
11, 92.27742, 92.53967, -1
12, 94.17751, 94.19123, -1
13, 88.32501, 89.58492, -1
14, 79.55254, 80.50761, -1
15, 30.10641, 30.13164, -1
16, 30.13164, 30.13164, -1
17, 43.37827, 77.34763, -1
18, 43.3714, 77.36365, -1
19, 34.58651, 42.22156, -1
20, 42.0092, 42.39605, -1
21, 44.29462, 49.59885, -1
22, 102.9261, 112.2993, -1
23, 110.4559, 113.0775, -1
24, 112.1972, 112.1972, -1
25, 113.7161, 113.7161, -1
26, 107.8499, 113.7012, -1
27, 95.10773, 113.2694, -1
28, 108.5786, 125.2609, -1
29, 120.0393, 176.4757, -1
30, 102.1233, 112.3736, -1
31, 101.9248, 102.3959, -1
32, 103.1225, 103.4275, -1
33, 67.86993, 100.5266, -1
34, 102.1118, 102.3169, -1
35, 104.6948, 104.8048, -1
36, 35.06422, 35.41436, -1
37, 74.17343, 112.235, -1
38, 112.2542, 112.4907, -1
39, 112.34, 112.4869, -1
40, 112.3931, 112.5536, -1
41, 112.4916, 112.6861, -1
